id,answer
5e7a923dd6e4ccb8730eb95230e0c908,2001年
a2e9cd802197b8f8dfbe235e2761f9ed,普法茲選侯國
c7c8a85b3f0006d44d86510a22193620,1779年
7f4f68726faed6b987e348340a9e6a61,石油
89908ef5182021a9aec1472c5bbcbd8c,中國地質大學逸夫博物館
14f4fbc7e40d017836f414e71acead71,擊敗關羽
4911c04597a5e2d7eb539efa00c053f8,無條件投降
755ebc079613e214f1abd5d52a6e8d32,抗日戰爭
38e45c1c2c6e7a96080bd753c7fadb43,亞洲太平洋經濟合作會議
d52156507573c4742d4e75a887e5b5d7,阿德里安堡戰役
196459cd4f5ef8c3131171430d4eeaca,13萬公里
f5594e2e303b34fb1620da127d930d9c,專有軟體
a5ba4f33e0a83a9ecba9b0f3adfd7b14,冷戰緊張時期
63ea80494c552fecb4b54eb64f226686,第二次世界大戰
ba806d826731e8dc38c8e8f1300b6726,守將劉馥與蔣濟的規劃
9fe42ca2d1efeaa8e1fd45120612cc8e,謝芝芬
ddbea2ca7dda8989670a5ff773eb243a,生育率
d82f4c4513687055ce042071780452e4,隋唐時代
3d5d21134f95a76609c8441eb73813c4,孫皓
4c2f00fb03ad43b8209325c21201905a,陳綺貞
39ab6557763c3f915179675dedf63b30,1932年
adb2675ed651e3f67ab671f82cc264fb,棉紡織
b8664bcbea5402f9fa5885b9ed231f12,北美
e2d2afe821fc59ddc9227d64e35c7c32,電荷耦合元件檢測器
e84fd3b41339ec4558004d66ebda27d0,京杭大運河
f7dba33d747a99b0429e08b4c1ac3363,烏克蘭
0ab024ea410b8dcf969f868e4c114fe7,網際網路檔案館
37bc5ae3cd3acd6788727c388c397b1d,泰國
d2a6608bafac0e882e002bdddc63db64,18米長車型
ad3029557fb36d544b35f1aec3fbc865,40歲
8d38d1718277da29fee660dcef42ac46,制定法
09cb4edaa869505cd516d727ff4758fd,第一個基督教國家
6bdd2dc8bbbdca1034cba722ec182d98,明尼阿波利斯
6694159995d0c7acf63cedb816d2beb6,維基媒體基金會
237fcd7ae827d78952c9e102123dbe62,在主要的小行星帶內的天體
8fba5163cafc7c9f7b3e772aff3658ea,飛瑞發報
fae75c17ca82f292c196294625258a80,國民政府行政院
0d092b332bd42301a0f90ae706e41e61,教育暨青年局
09d280b721aba108c5f23e2935da60b8,5000萬人
758c8ecbb9d846c0eea65f8e030e3b30,生存權
e88f40dbb7d96a7b1492faa139f131eb,中央軍委國防動員部
7356186cc97b5886809ffee83ac04d93,少年班學院
a0adac4acd0a50397a77d9685351be81,君士坦丁堡
f24fa605a776040ace63cbe06fefaa7f,華人
8b39ea7de68916747694ee8c067f9a18,蘇聯
fc4aa703132069af01b46b80b8926fae,1962年
e3c5c08f75ce0efae51b73cc3ddfb564,奧地利
8db285906d93a358467ec1e26f8dd294,2006年
162146ba9705943f9dbe2acc38df9a10,中生代末期
d2b814fc7e42ff4a009d0bef2e45121e,仁慈博愛
d2760b53cfec7122f970d0da8892bdac,足球
26b334f765f5cb024ca1f03f005626d5,2007年
05e399abc3e32f01bd2252365f9dcc96,通常是所在地的重要地標
cd8c0590f03f7d7c9e3cdcd8b8151167,阿古柏
e0ea97598f9581af2545849e50be240a,朱鎔基
6747fa16af9ecec16411f331f1ffacc2,為了我們集體的利益
bf978949444b59d48d1726cc0ee2c095,1.2公里
91743312a7d0e6afa14d864c32225cd4,西藏
f3a151a19bd7ff605e0a78540a865b10,湟水河
f8dc5b8e2ce2aad1c21615e6cb44669e,巴西
16224a4ba97c1131cd95fe492c3651d8,1622年
9b68f065c607b688fba428a02c4313c2,1921年
6daced661e57826af007d511eb0a26a3,西南四省
44862cd9d221786088b015adfb122df2,氣候濕潤溫和
4230c5ff12e4efaa24d309e8750ff077,三級
35f95deac7a7ed5326c47bc498222e95,孫皓
992806485ca338f51115364ffcd1c894,聯合國教科文組織
c1cb6699c12fa97d98d4b50acfe24078,青浦縣
3ae2000d7df822d5948453092763fc79,失真壓縮
ba9cbdf1823c859bb1c7bb29ecb072d0,中國北方的陝甘寧邊區
d248410b98dd74dd60eab5a65d47ab57,《中華人民共和國憲法》
fa47adfdcf01d2cfed5b5652b8ce72e5,韓戰題材
4dc403fead6031f91139aaa8f7f34536,2014年國際足總世界盃
